product_name,category,brand,price,discount_percentage,rating,review_count,optimal_price
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (4 GB/32 GB EMMC Storage/Chrome OS) 82W00004HA Ch...,Laptop,Lenovo,9499.0,41.71677506442508,3.9,379.0,8840
HP Chromebook Intel Celeron Dual Core N4120 - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0506TU Chromeb...,Laptop,Hp,17990.0,44.2947824740672,3.9,2089.0,16750
HP 15 Intel Celeron Dual Core 12th Gen -N4500 - (8 GB/256 GB SSD/Windows 11 Pro) 250 G9 Laptop,Laptop,Hp,23500.0,24.193548387096776,4.1,25.0,22320
HP 15 G10 (2025) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15 G10 Thin and Light...,Laptop,Hp,29750.0,40.49880997619952,4.3,1765.0,28830
HP 255 G10 AMD Athlon Dual Core 7120U - (8 GB/256 GB SSD/Windows 11 Home) 255 G10 Thin and Light Lapto...,Laptop,Hp,24700.0,31.36982495137538,4.1,33.0,23460
ASUS Chromebook CX14 Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1405CKA-NK0...,Laptop,Asus,14990.0,54.56198848135799,4.4,5.0,14530
HP Laptop Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) fd0129TU / fd0186TU Thin an...,Laptop,Hp,36990.0,27.33237726656582,4.1,419.0,35140
HP MSO 2024 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0574TU Thin and Lig...,Laptop,Hp,39490.0,27.51335376934232,4.1,419.0,37520
HP Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) 15s- fq3066TU Thin and Light Lapt...,Laptop,Hp,27891.0,12.837901184412011,3.8,1068.0,25970
HP AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light Laptop,Laptop,Hp,35990.0,34.02625018331133,4.2,8964.0,34190
ASUS Chromebook Intel Celeron Dual Core N4500 - (4 GB/128 GB EMMC Storage/Chrome OS) CX1500CKA-NJ0413 ...,Laptop,Asus,16990.0,48.49954531676266,3.8,3357.0,15820
Lenovo Yoga Slim 7 Qualcomm Snapdragon X Plus - (32 GB/1 TB SSD/Windows 11 Home) Yoga Slim 7 14Q8X9 Th...,Laptop,Lenovo,129190.0,34.04972178263311,0.0,0.0,120280
HP 14R (2025) Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) 14R G9 Thin and Light ...,Laptop,Hp,35690.0,56.994818652849744,4.3,44.0,34580
HP 15 Intel Core 3 14th Gen 100U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd1253TU/ 15-fd1225TU Thin and...,Laptop,Hp,36990.0,27.24662195385796,4.0,110.0,35140
HP 255 G10 (2024) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 250 G10 Thin and Lig...,Laptop,Hp,26800.0,16.22381994373242,4.0,567.0,25460
HP 15s AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s-eq2143au Thin and Light Lap...,Laptop,Hp,33540.0,31.549623461703305,4.2,6274.0,31860
Lenovo 100e Chromebook Gen 4 MediaTek MediaTek Kompanio 528 - (4 GB/64 GB EMMC Storage/Chrome OS) 82W0...,Laptop,Lenovo,10499.0,72.14380472273812,3.8,204.0,9770
Lenovo Chromebook MediaTek Kompanio 520 - (4 GB/128 GB EMMC Storage/Chrome OS) 14M868 Chromebook,Laptop,Lenovo,13990.0,51.2373649355176,3.8,2399.0,13020
HP (2024) Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0061TU Thin and Light ...,Laptop,Hp,33990.0,26.10066311555604,3.9,179.0,31640
HP 15 G9 (2025) AMD Ryzen 3 Dual Core 3250U - (16 GB/512 GB SSD/Windows 11 Pro) 15 G9 Thin and Light L...,Laptop,Hp,28990.0,45.29156444612191,4.1,154.0,27540
HP Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0576TU Thin and Light Laptop,Laptop,Hp,53500.0,24.647887323943664,4.0,22.0,50820
HP 240 G8 Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) 240 G8 Business Laptop,Laptop,Hp,30999.0,30.581121934833728,4.2,265.0,29450
HP 250 G9 Intel Celeron Dual Core N4500 - (8 GB/256 GB SSD/Windows 11 Home) 250 G9 Thin and Light Lapt...,Laptop,Hp,23990.0,14.318368513161184,4.1,56.0,22790
HP 250R G9 (2024) Intel Core i3 13th Gen Intel Core i3 - 1315U (13th Gen) - (8 GB/512 GB SSD/Windows 1...,Laptop,Hp,33390.0,25.783507446099136,4.4,52.0,32350
HP 14s Intel Pentium Quad Core N6000 - (8 GB/512 GB SSD/Windows 11 Home) 14S-DR3003TU Thin and Light L...,Laptop,Hp,27990.0,24.330900243309003,3.0,10.0,26060
HP Pavilion MSO 2021 AMD Ryzen 5 Hexa Core 8540U - (16 GB/512 GB SSD/Windows 11 Home) 16-ag0019AU Thin...,Laptop,Hp,58990.0,23.313920232957205,4.1,64.0,56040
HP 255 G9 841W6pa AMD Ryzen 3 Dual Core - (8 GB/512 GB SSD/DOS) 6E3Z0PA Laptop,Laptop,Hp,29990.0,21.07687044395905,3.9,379.0,27920
HP 255 G9 AMD Ryzen 3 Dual Core 3250 - (8 GB/512 GB SSD/Windows 11 Home) 255 G8 Thin and Light Laptop,Laptop,Hp,27490.0,42.71723275682434,4.1,1628.0,26120
HP Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fq5330TU|15-fd0111TU Thin and...,Laptop,Hp,48180.0,31.661513148563163,4.2,8029.0,45770
HP Chromebook MediaTek MT8183 - (4 GB/64 GB EMMC Storage/Chrome OS) 11A-NA0002MU Chromebook,Laptop,Hp,17890.0,29.70530451866405,3.7,7993.0,16660
